20,95,48
1,0,0,1
691,1,0,0
692,1,0,0
693,1,0,0
694,1,0,0
695,1,0,0
696,1,0,0
697,1,0,0
698,1,0,0
699,1,0,0
700,1,0,0
701,1,0,0
736,1,0,0
737,1,0,0
738,1,0,0
739,1,0,0
742,1,0,0
743,1,0,0
749,1,0,0
750,1,0,0
751,1,0,0
752,1,0,0
782,1,0,0
783,1,0,0
784,1,0,0
800,1,0,0
801,1,0,0
802,1,0,0
829,1,0,0
830,1,0,0
850,1,0,0
851,1,0,0
852,1,0,0
876,1,0,0
877,1,0,0
900,1,0,0
901,1,0,0
924,1,0,0
949,1,0,0
950,1,0,0
951,1,0,0
971,1,0,0
972,1,0,0
999,1,0,0
1000,1,0,0
1019,1,0,0
1048,1,0,0
1066,1,0,0
1067,1,0,0
1096,1,0,0
1097,1,0,0
1114,1,0,0
1145,1,0,0
1146,1,0,0
1162,1,0,0
1194,1,0,0
1195,1,0,0
1209,1,0,0
1210,1,0,0
1243,1,0,0
1257,1,0,0
1291,1,0,0
1292,1,0,0
1305,1,0,0
1340,1,0,0
1353,1,0,0
1388,1,0,0
1389,1,0,0
1400,1,0,0
1401,1,0,0
1437,1,0,0
1448,1,0,0
1485,1,0,0
1496,1,0,0
1533,1,0,0
1534,1,0,0
1544,1,0,0
1582,1,0,0
1592,1,0,0
1630,1,0,0
1639,1,0,0
1640,1,0,0
1678,1,0,0
1679,1,0,0
1687,1,0,0
1727,1,0,0
1735,1,0,0
1775,1,0,0
1783,1,0,0
1831,1,0,0
1879,1,0,0
1927,1,0,0
1975,1,0,0
2022,1,0,0
2023,1,0,0
2070,1,0,0
2118,1,0,0
2166,1,0,0
2214,1,0,0
2262,1,0,0
2310,1,0,0
2358,1,0,0
2406,1,0,0
2407,1,0,0
2455,1,0,0
2503,1,0,0
2551,1,0,0
2599,1,0,0
2647,1,0,0
2695,1,0,0
2696,1,0,0
2744,1,0,0
2792,1,0,0
2840,1,0,0
2888,1,0,0
2889,1,0,0
2937,1,0,0
2985,1,0,0
2986,1,0,0
3034,1,0,0
4560,0,1,0
