20,95,48
1,0,0,1
999,1,0,0
1046,1,0,0
1047,1,0,0
1093,1,0,0
1094,1,0,0
1140,1,0,0
1141,1,0,0
1187,1,0,0
1188,1,0,0
1234,1,0,0
1235,1,0,0
1281,1,0,0
1282,1,0,0
1328,1,0,0
1329,1,0,0
1375,1,0,0
1376,1,0,0
1422,1,0,0
1423,1,0,0
1469,1,0,0
1470,1,0,0
1516,1,0,0
1517,1,0,0
1563,1,0,0
1564,1,0,0
1610,1,0,0
1611,1,0,0
1657,1,0,0
1658,1,0,0
1704,1,0,0
1705,1,0,0
1751,1,0,0
1752,1,0,0
1798,1,0,0
1799,1,0,0
1845,1,0,0
1846,1,0,0
1892,1,0,0
1893,1,0,0
1939,1,0,0
1940,1,0,0
1986,1,0,0
1987,1,0,0
2033,1,0,0
2034,1,0,0
2080,1,0,0
2081,1,0,0
2127,1,0,0
2128,1,0,0
2174,1,0,0
2175,1,0,0
2221,1,0,0
2222,1,0,0
2268,1,0,0
2269,1,0,0
2315,1,0,0
2316,1,0,0
2362,1,0,0
2363,1,0,0
2409,1,0,0
2410,1,0,0
2456,1,0,0
2457,1,0,0
2503,1,0,0
2504,1,0,0
2551,1,0,0
4560,0,1,0
